user_id,event_type,timestamp
1,app_opened,2026-03-08 12:54:59.384615
1,account_created,2026-03-09 02:54:59.384615
1,kyc_started,2026-03-09 20:54:59.384615
2,app_opened,2026-03-06 08:54:59.384664
3,app_opened,2026-04-13 03:54:59.384676
3,account_created,2026-04-12 10:54:59.384676
3,kyc_started,2026-04-13 16:54:59.384676
3,kyc_completed,2026-04-14 19:54:59.384676
4,app_opened,2026-03-04 05:54:59.384697
4,account_created,2026-03-04 11:54:59.384697
4,kyc_started,2026-03-05 23:54:59.384697
5,app_opened,2026-04-17 14:54:59.384712
5,account_created,2026-04-18 06:54:59.384712
5,kyc_started,2026-04-19 10:54:59.384712
6,app_opened,2026-03-27 12:54:59.384728
6,account_created,2026-03-27 15:54:59.384728
6,kyc_started,2026-03-29 12:54:59.384728
7,app_opened,2026-04-16 08:54:59.384742
7,account_created,2026-04-15 16:54:59.384742
8,app_opened,2026-03-24 11:54:59.384754
8,account_created,2026-03-26 01:54:59.384754
8,kyc_started,2026-03-28 00:54:59.384754
8,kyc_completed,2026-04-01 18:54:59.384754
8,deposit_made,2026-04-03 13:54:59.384754
8,transaction_made,2026-04-03 23:54:59.384754
9,app_opened,2026-04-03 12:54:59.384779
9,account_created,2026-04-04 14:54:59.384779
9,kyc_started,2026-04-06 13:54:59.384779
9,kyc_completed,2026-04-09 10:54:59.384779
9,deposit_made,2026-04-10 04:54:59.384779
9,transaction_made,2026-04-11 02:54:59.384779
10,app_opened,2026-03-11 05:54:59.384804
10,account_created,2026-03-12 07:54:59.384804
10,kyc_started,2026-03-14 19:54:59.384804
10,kyc_completed,2026-03-19 04:54:59.384804
11,app_opened,2026-04-04 06:54:59.384823
11,account_created,2026-04-03 12:54:59.384823
11,kyc_started,2026-04-03 17:54:59.384823
12,app_opened,2026-03-23 17:54:59.384836
12,account_created,2026-03-24 21:54:59.384836
13,app_opened,2026-03-28 15:54:59.384899
13,account_created,2026-03-29 10:54:59.384899
14,app_opened,2026-03-07 23:54:59.384910
14,account_created,2026-03-07 17:54:59.384910
14,kyc_started,2026-03-10 17:54:59.384910
14,kyc_completed,2026-03-15 16:54:59.384910
15,app_opened,2026-03-11 21:54:59.384933
15,account_created,2026-03-11 17:54:59.384933
15,kyc_started,2026-03-12 05:54:59.384933
16,app_opened,2026-04-10 13:54:59.384947
16,account_created,2026-04-12 04:54:59.384947
16,kyc_started,2026-04-12 13:54:59.384947
16,kyc_completed,2026-04-16 17:54:59.384947
17,app_opened,2026-03-15 17:54:59.384964
18,app_opened,2026-04-18 06:54:59.384970
18,account_created,2026-04-19 04:54:59.384970
